generation,mean_error,min_error,mean_non_struct_ef,min_non_struct_ef,mean_non_sem_ef,min_non_sem_ef
706,7.186,0.7,0.398062,0.142857,0.422319,0.142857
707,7.423,0.7,0.395732,0.142857,0.422831,0.142857
708,7.319,0.7,0.417585,0.142857,0.432429,0.142857
709,5.854,0.7,0.331903,0.142857,0.346493,0.142857
710,7.065,0.7,0.353175,0.125,0.366209,0.142857
711,6.147,0.7,0.333558,0.142857,0.345906,0.142857
712,8.002,0.7,0.334591,0,0.353373,0
713,6.406,0.7,0.315369,0,0.330726,0
714,6.009,0.7,0.341391,0.142857,0.355676,0.142857
715,5.751,0.7,0.333063,0.142857,0.347674,0.142857
716,7.142,0.7,0.392767,0,0.405624,0.142857
717,7.301,0.7,0.35372,0,0.371863,0.142857
718,6.139,0.7,0.317558,0,0.342673,0.142857
719,6.027,0.7,0.330661,0.142857,0.3482,0.142857
720,6.615,0.7,0.366881,0.142857,0.383389,0.142857
721,7.724,0.7,0.372275,0.125,0.398223,0.142857
722,7.464,0.7,0.343359,0,0.375672,0.125
723,7.238,0.7,0.358857,0.125,0.384766,0.142857
724,5.59,0.7,0.327847,0,0.341795,0.142857
725,6.974,0.7,0.323512,0,0.339607,0.125
726,8.061,0.7,0.369924,0.111111,0.386368,0.125
727,8.316,0.7,0.366044,0,0.390563,0.125
728,7.187,0.7,0.332048,0,0.347702,0.142857
729,5.341,0.7,0.243385,0,0.266956,0.142857
730,6.876,0.7,0.322761,0,0.347972,0.125
731,8.21,0.7,0.388883,0.125,0.416288,0.142857
732,7.821,0.7,0.374934,0,0.396839,0.142857
733,7.871,0.7,0.352378,0.142857,0.366839,0.142857
734,7.395,0.7,0.375587,0.142857,0.386635,0.142857
735,6.949,0.7,0.343518,0.111111,0.364549,0.142857
736,7.497,0.7,0.368986,0.142857,0.383545,0.142857
737,7.323,0.7,0.377375,0,0.394391,0.142857
738,8.041,0.7,0.384883,0,0.40893,0.142857
739,8.437,0.7,0.410207,0,0.435187,0.142857
740,8.543,0.7,0.43292,0,0.46025,0.142857
741,8.837,0.7,0.417284,0,0.448006,0.142857
742,7.409,0.7,0.391655,0.125,0.413489,0.142857
743,6.397,0.7,0.358333,0.125,0.376377,0.125
744,8.301,0.7,0.365676,0,0.378946,0
745,5.987,0.7,0.349954,0.142857,0.362454,0.142857
746,6.067,0.7,0.319206,0,0.326488,0.125
747,7.471,0.7,0.356895,0,0.370684,0.142857
748,6.17,0.7,0.342856,0,0.352538,0.142857
749,7.776,0.7,0.39707,0.142857,0.408753,0.142857
750,8.151,0.7,0.402282,0.142857,0.423393,0.142857
751,7.726,0.7,0.366905,0,0.398969,0.142857
752,7.903,0.7,0.373195,0,0.401723,0.142857
